draw_date,weekday,number_1,number_2,number_3,number_4,number_5,jackpot_text,jackpot_amount,rule_version,source_url
2022-08-22,Monday,9,10,16,22,35,"$71,000",71000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-08-23,Tuesday,4,11,15,30,37,"$166,000",166000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-08-24,Wednesday,4,6,15,19,30,"$312,000",312000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-08-25,Thursday,3,10,15,16,19,"$533,000",533000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-08-26,Friday,3,5,22,37,39,"$90,000",90000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-08-27,Saturday,8,9,28,34,39,"$75,000",75000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-08-28,Sunday,6,12,13,20,34,"$169,000",169000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-08-29,Monday,4,10,15,33,37,"$303,000",303000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-08-30,Tuesday,8,13,28,29,31,"$529,000",529000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-08-31,Wednesday,1,3,8,11,38,"$848,000",848000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-01,Thursday,8,10,11,15,30,"$84,000",84000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-02,Friday,14,18,26,31,38,"$80,000",80000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-03,Saturday,4,6,9,18,30,"$191,000",191000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-04,Sunday,13,21,24,27,37,"$63,000",63000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-05,Monday,1,18,24,31,34,"$159,000",159000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-06,Tuesday,21,27,29,36,38,"$72,000",72000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-07,Wednesday,12,17,25,29,32,"$72,000",72000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-08,Thursday,1,5,12,17,32,"$175,000",175000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-09,Friday,9,14,16,35,37,"$82,000",82000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-10,Saturday,7,16,20,24,39,"$77,000",77000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-11,Sunday,10,12,14,27,31,"$169,000",169000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-12,Monday,5,6,18,27,39,"$69,000",69000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-13,Tuesday,2,8,17,23,29,"$165,000",165000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-14,Wednesday,19,22,34,38,39,"$73,000",73000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-15,Thursday,1,4,13,17,38,"$67,000",67000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-16,Friday,19,27,33,35,36,"$77,000",77000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-17,Saturday,4,14,15,34,35,"$181,000",181000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-18,Sunday,3,20,24,25,32,"$297,000",297000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-19,Monday,2,3,17,24,39,"$69,000",69000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-20,Tuesday,1,9,22,34,38,"$164,000",164000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
2022-09-21,Wednesday,7,14,28,30,33,"$70,000",70000,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/2022
