draw_date,weekday,number_1,number_2,number_3,number_4,number_5,jackpot_text,jackpot_amount,rule_version,source_url
1992-02-04,Tuesday,5,8,10,30,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-06,Thursday,2,9,12,18,21,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-07,Friday,1,6,17,30,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-11,Tuesday,9,10,13,14,23,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-13,Thursday,3,15,30,34,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-14,Friday,4,8,18,23,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-18,Tuesday,1,9,13,23,30,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-20,Thursday,6,16,17,37,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-21,Friday,3,11,12,18,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-25,Tuesday,10,11,17,24,27,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-27,Thursday,7,18,22,26,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-28,Friday,9,10,31,34,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-03,Tuesday,13,18,25,27,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-05,Thursday,2,7,12,15,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-06,Friday,1,9,22,23,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-10,Tuesday,12,15,23,25,27,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-12,Thursday,3,13,15,17,25,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-13,Friday,1,19,29,35,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-17,Tuesday,1,16,29,33,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-19,Thursday,5,18,27,32,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-20,Friday,2,20,24,27,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-24,Tuesday,5,21,33,36,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-26,Thursday,6,33,34,38,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-27,Friday,8,14,21,29,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-31,Tuesday,2,5,15,29,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-02,Thursday,4,9,10,19,21,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-03,Friday,6,9,16,34,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-07,Tuesday,17,25,26,31,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-09,Thursday,8,19,30,34,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-10,Friday,1,5,24,25,30,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-14,Tuesday,3,8,11,20,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-16,Thursday,1,2,10,11,20,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-17,Friday,14,16,25,26,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-21,Tuesday,2,8,11,30,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-23,Thursday,3,10,20,24,25,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-24,Friday,10,26,31,32,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-28,Tuesday,6,13,18,33,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-30,Thursday,22,23,29,31,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-01,Friday,13,19,21,22,24,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-05,Tuesday,3,14,24,32,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-07,Thursday,13,16,18,31,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-08,Friday,4,16,32,33,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-12,Tuesday,7,26,27,35,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-14,Thursday,7,18,25,27,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-15,Friday,13,24,35,37,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-19,Tuesday,5,6,18,32,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-21,Thursday,1,8,28,29,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-22,Friday,12,22,23,24,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-26,Tuesday,6,16,23,32,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-28,Thursday,15,25,29,32,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-29,Friday,3,13,16,22,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-02,Tuesday,4,8,15,19,22,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-04,Thursday,3,7,10,17,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-05,Friday,14,19,24,28,31,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-09,Tuesday,2,3,6,20,27,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-11,Thursday,6,8,10,16,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-12,Friday,3,16,22,31,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-16,Tuesday,18,24,28,35,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-18,Thursday,5,20,24,25,31,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-19,Friday,10,19,22,25,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-23,Tuesday,11,17,25,29,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-25,Thursday,12,14,22,34,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-26,Friday,17,22,26,30,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-06-30,Tuesday,6,14,16,23,28,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-02,Thursday,3,15,16,26,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-03,Friday,9,10,11,32,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-07,Tuesday,17,24,27,28,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-09,Thursday,11,16,25,28,29,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-10,Friday,9,13,14,15,22,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-14,Tuesday,8,17,27,32,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-16,Thursday,5,6,34,36,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-17,Friday,4,7,9,23,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-21,Tuesday,4,5,32,35,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-23,Thursday,5,20,28,30,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-24,Friday,9,14,17,20,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-28,Tuesday,3,22,25,28,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-30,Thursday,6,17,31,33,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-07-31,Friday,4,15,29,31,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-04,Tuesday,4,11,15,33,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-06,Thursday,2,8,20,31,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-07,Friday,4,13,27,33,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-11,Tuesday,15,20,22,26,27,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-13,Thursday,10,17,27,30,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-14,Friday,1,9,14,24,26,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-18,Tuesday,1,4,15,30,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-20,Thursday,2,4,18,24,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-21,Friday,8,24,29,33,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-25,Tuesday,1,11,23,27,31,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-27,Thursday,9,15,16,17,18,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-08-28,Friday,6,8,21,30,31,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-01,Tuesday,2,5,25,36,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-03,Thursday,2,6,18,37,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-04,Friday,10,19,28,33,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-08,Tuesday,6,15,20,22,28,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-10,Thursday,9,10,21,27,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-11,Friday,15,20,26,27,28,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-15,Tuesday,17,20,25,29,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-17,Thursday,9,11,23,28,29,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-18,Friday,5,27,34,36,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-22,Tuesday,7,10,13,19,20,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-24,Thursday,1,12,13,20,26,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-25,Friday,6,17,31,37,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-09-29,Tuesday,1,4,8,29,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-01,Thursday,2,6,27,29,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-02,Friday,1,6,25,27,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-06,Tuesday,8,12,15,26,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-08,Thursday,4,8,25,34,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-09,Friday,7,10,17,23,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-13,Tuesday,8,11,17,32,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-15,Thursday,5,8,23,25,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-16,Friday,18,30,35,36,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-20,Tuesday,10,12,14,33,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-22,Thursday,9,16,22,23,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-23,Friday,8,16,27,29,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-27,Tuesday,13,20,24,26,27,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-29,Thursday,5,7,14,35,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-10-30,Friday,12,19,26,32,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-03,Tuesday,1,4,12,25,31,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-05,Thursday,12,16,31,34,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-06,Friday,1,8,19,27,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-10,Tuesday,1,9,12,15,26,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-12,Thursday,9,18,22,23,24,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-13,Friday,8,17,24,33,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-17,Tuesday,2,9,11,22,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-19,Thursday,13,19,31,35,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-20,Friday,12,18,23,29,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-24,Tuesday,1,2,3,19,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-26,Thursday,1,7,10,20,22,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-11-27,Friday,9,17,18,33,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-01,Tuesday,2,3,22,29,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-03,Thursday,4,9,25,31,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-04,Friday,5,7,17,31,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-08,Tuesday,7,10,22,34,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-10,Thursday,21,27,34,37,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-11,Friday,8,13,14,23,28,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-15,Tuesday,10,19,20,28,31,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-17,Thursday,1,7,10,16,24,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-18,Friday,4,10,29,33,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-22,Tuesday,9,32,36,38,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-24,Thursday,1,19,22,35,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-25,Friday,18,22,23,28,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-29,Tuesday,1,14,15,35,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-12-31,Thursday,9,21,22,32,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1993-01-01,Friday,10,13,29,32,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-05,Tuesday,8,13,15,29,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-07,Thursday,10,18,21,23,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-08,Friday,6,8,9,26,31,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-12,Tuesday,4,12,19,28,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-14,Thursday,7,27,29,30,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-15,Friday,2,5,18,26,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-19,Tuesday,4,13,27,29,31,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-21,Thursday,17,20,21,25,28,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-22,Friday,7,11,20,26,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-26,Tuesday,5,8,26,29,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-28,Thursday,17,20,22,32,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-01-29,Friday,5,8,17,29,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-02,Tuesday,2,7,8,12,22,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-04,Thursday,8,12,14,27,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-05,Friday,8,16,24,25,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-09,Tuesday,13,14,31,36,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-11,Thursday,6,24,27,30,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-12,Friday,5,25,29,30,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-16,Tuesday,12,14,21,22,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-18,Thursday,12,13,35,37,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-19,Friday,11,12,13,16,17,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-23,Tuesday,10,28,31,35,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-25,Thursday,1,8,14,31,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-02-26,Friday,10,13,14,35,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-02,Tuesday,4,10,17,21,27,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-04,Thursday,1,2,3,17,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-05,Friday,14,22,29,31,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-09,Tuesday,2,7,17,22,31,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-11,Thursday,2,10,14,21,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-12,Friday,19,20,25,35,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-16,Tuesday,12,15,21,27,28,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-18,Thursday,1,2,9,23,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-19,Friday,6,20,21,22,23,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-23,Tuesday,4,11,12,21,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-25,Thursday,11,18,19,23,30,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-26,Friday,11,12,14,19,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-03-30,Tuesday,6,9,10,26,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-04-01,Thursday,18,27,32,33,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-04-02,Friday,9,19,24,25,26,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-04-06,Tuesday,2,13,15,25,26,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-04-08,Thursday,4,8,24,37,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-04-09,Friday,20,24,31,32,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-04-13,Tuesday,13,16,26,28,31,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-04-15,Thursday,11,25,26,28,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-04-16,Friday,2,13,27,28,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-04-20,Tuesday,1,2,20,22,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
1993-04-22,Thursday,3,6,7,26,29,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1993
